立院 (Nb_ORGANIZATION)	582
社 (Nc)	582
錢 (Na)	581
沒 (D)	579
內 (Ng)	579
好 (Cbb)	577
成功 (VH)	577
長期 (Nd_DATE)	574
12 (Neu)	574
項 (Na)	574
比例 (Na)	574
維護 (VC)	573
入 (VC)	570
所謂 (VK)	569
六 (Neu)	568
時期 (Na)	567
總統府 (Nc)	567
想 (VE)	566
方案 (Na)	566
權益 (Na)	565
決心 (Na)	564
方面 (Na)	563
提升 (VC)	563
無 (D)	563
公司 (Nc)	562
道歉 (VB)	562
產生 (VHC)	562
地 (D)	561
訴求 (Na)	561
有效 (VH)	561
護 (VC)	559
正式 (VH)	557
如 (P)	557
基礎 (Na)	556
提案 (Na)	556
年底 (Nd_DATE)	552
北京 (Nc_LOCATION)	551
簽訂 (VC)	550
傷害 (Na)	550
外 (Ncd)	548
發 (VC)	548
黨務 (Na)	547
親 (Na)	547
元 (Na)	547
朋友 (Na)	546
不是 (Cbb)	545
危機 (Na)	545
in (FW)	544
每 (D)	544
簽署 (VC)	543
豬 (Na)	543
選擇 (Na)	540
策略 (Na)	539
傳統 (Na)	539
強化 (VHC)	539
8 (Neu)	538
心 (Na)	538
用 (VC)	538
基本 (Na)	537
不到 (VJ)	537
因應 (VJ)	536
體制 (Na)	535
競爭 (Na)	535
香港 (Nc_LOCATION)	534
點 (Nf)	533
批評 (Na)	531
軍 (Na)	531
半 (Neqa)	529
立法 (VA)	528
不斷 (D)	527
2008年 (Nd_DATE)	526
財政 (Na)	525
律師 (Na)	523
20 (Neu)	523
負責 (VL)	522
順利 (VH)	522
保障 (Na)	522
網 (Na)	522
需要 (VK)	521
11 (Neu)	519
度 (Na)	517
依 (P)	517
黨籍 (Na)	517
威脅 (Na)	516
意義 (Na)	516
北 (Nc)	515
具有 (VJ)	515
線 (Na)	514
完整 (VH)	513
阿 (Nc)	513
涉及 (VK)	513
辦法 (Na)	512
公布 (VE)	511
藍 (VH)	511
鼓勵 (VF)	509
變成 (VG)	509
陣營 (Na)	509
真的 (D)	508
人才 (Na)	508
至 (Caa)	507
達成 (VC)	507
抹 (VC)	507
女 (Na)	504
改變 (VC)	504
過 (Dfa)	504
交流 (VH)	502
一致 (VH)	501
各界 (Na)	500
進入 (VCL)	500
號 (Nf)	500
而 (Caa)	499
國內 (Nc)	499
整體 (Na)	498
化 (Na)	498
部 (Nc)	498
吳乃仁 (Nb_PERSON)	497
聯 (Na)	497
如此 (VH)	496
從 (D)	496
讓 (P)	494
時 (Na)	494
謝 (Nb_PERSON)	493
四 (D)	493
回應 (Na)	492
7 (Neu)	492
開始 (VH)	491
理性 (Na)	491
成員 (Na)	491
福利 (Nc_LOCATION)	491
重視 (VJ)	490
根據 (P)	489
討 (VC)	489
雙方 (Nh)	488
文宣部 (Nb_PERSON)	487
方向 (Na)	487
深 (VH)	486
前往 (VCL)	486
來 (VA)	485
它 (Nh)	485
明顯 (VH)	484
溝通 (VC)	484
之後 (Nd_DATE)	484
莊瑞雄 (Nb_PERSON)	484
們 (Na)	484
目的 (Na)	484
維持 (VJ)	482
壓 (Na)	482
多數 (Neqa)	481
家庭 (Na)	481
對話 (Na)	481
狀況 (Na)	479
執政黨 (Na)	479
幸福 (VH)	477
張俊雄 (Nb_PERSON)	476
總 (D)	476
站 (VA)	476
這麼 (D)	475
錯誤 (Na)	474
施政 (VA)	474
除 (P)	472
聯 (D)	471
下 (Nes)	471
利用 (VC)	469
取得 (VC)	468
十 (FW)	468
財產 (Na)	468
才 (D)	466
措施 (Na)	466
本土 (Nc)	466
須要 (D)	465
採取 (VC)	464
日 (D)	463
教授 (Na)	462
所得 (Na)	462
林右昌 (Nb_PERSON)	461
抗議 (VE)	460
經過 (P)	460
皆 (D)	460
了解 (VK)	459
家 (Nc)	459
9 (Neu)	457
非常 (A)	457
角色 (Na)	457
自 (P)	456
使用 (VC)	456
聲音 (Na)	455
公佈 (VE)	455
討論 (VE)	455
遺憾 (Na)	454
歡迎 (VJ)	454
九二 (Neu)	453
過半 (VH)	453
分 (VC)	453
a (FW)	452
天 (Na)	451
對立 (VH)	451
得到 (VJ)	451
前 (Ncd)	451
任務 (Na)	451
分裂 (VHC)	450
譴責 (VC)	450
必要 (Na)	450
考量 (VE)	449
繼續 (VA)	449
證明 (Na)	448
經貿 (Na)	447
出現 (VH)	447
決策 (Na)	447
或是 (Caa)	446
津貼 (Na)	445
晚會 (Na)	444
核 (Na)	444
像 (P)	444
外 (Nc)	443
二二八 (Neu)	443
保護 (VC)	443
暴力 (Na)	443
百 (Neu)	443
專業 (VH)	443
高雄市 (Nc_LOCATION)	442
在一起 (VH)	441
募款 (Na)	441
給 (D)	441
站 (Nc)	441
捍衛 (VC)	440
部門 (Na)	440
熱情 (Na)	440
用 (D)	439
修正 (VC)	439
打 (Nf)	438
和平 (Nc_LOCATION)	438
面 (Na)	438
朝野 (Na)	438
全體 (Na)	437
重新 (D)	437
主要 (A)	436
工程 (Na)	436
最高 (Nb)	435
清廉 (VH)	435
作業 (Na)	435
大眾 (Nh)	434
辦理 (VC)	434
書 (Na)	434
18 (Neu)	434
安全 (Na)	434
費 (Na)	433
基金 (Na)	433
鄭 (Nb_PERSON)	433
重申 (VE)	432
反對 (VC)	432
社區 (Nc)	432
有人 (Nb)	432
時代 (Na)	432
在於 (VK)	432
新聞 (Na)	431
陪同 (VC)	431
轉型 (VH)	431
段 (Nf)	431
配合 (VC)	431
屏東 (Nc_LOCATION)	431
30 (Neu)	430
修 (VC)	430
比 (P)	430
開始 (Ng)	429
吳敦義 (Nb_PERSON)	428
分區 (Nc)	427
